item_no,Name,Calories,Fat(g),Carb(g),Fiber(g),Protein(g)
1001,Brewed Coffee,3,0.1,5,0,0.3
1002,Brewed Coffee,4,0.1,10,0,0.5
1003,Brewed Coffee,5,0.1,10,0,1.0
1004,Brewed Coffee,5,0.1,10,0,1.0
1005,Caffè Latte,70,0.1,75,0,6.0
1006,Caffè Latte,100,3.5,85,0,6.0
1007,Caffè Latte,70,2.5,65,1,5.0
1008,Caffè Latte,100,0.2,120,0,10.0
1009,Caffè Latte,150,6.0,135,0,10.0
1010,Caffè Latte,110,4.5,105,1,8.0
1011,Caffè Latte,130,0.3,150,0,13.0
1012,Caffè Latte,190,7.0,170,0,12.0
1013,Caffè Latte,150,5.0,130,1,10.0
1014,Caffè Latte,170,0.4,190,0,16.0
1015,Caffè Latte,240,9.0,220,0,16.0
1016,Caffè Latte,190,7.0,170,2,13.0
1017,Caffè Mocha (Without Whipped Cream),110,1.5,60,1,7.0
1018,Caffè Mocha (Without Whipped Cream),130,4.0,70,1,6.0
1019,Caffè Mocha (Without Whipped Cream),110,3.5,55,2,6.0
1020,Caffè Mocha (Without Whipped Cream),170,2.0,100,1,10.0
1021,Caffè Mocha (Without Whipped Cream),200,6.0,115,1,10.0
1022,Caffè Mocha (Without Whipped Cream),180,5.0,85,2,9.0
1023,Caffè Mocha (Without Whipped Cream),220,2.5,125,2,13.0
1024,Caffè Mocha (Without Whipped Cream),260,8.0,140,2,13.0
1025,Caffè Mocha (Without Whipped Cream),230,7.0,105,3,11.0
1026,Caffè Mocha (Without Whipped Cream),280,3.0,160,2,17.0
1027,Caffè Mocha (Without Whipped Cream),340,11.0,180,2,17.0
1028,Caffè Mocha (Without Whipped Cream),290,9.0,140,4,14.0
1029,Vanilla Latte (Or Other Flavoured Latte),100,0.1,70,0,6.0
1030,Vanilla Latte (Or Other Flavoured Latte),130,3.5,80,0,6.0
1031,Vanilla Latte (Or Other Flavoured Latte),110,2.5,60,1,5.0
1032,Vanilla Latte (Or Other Flavoured Latte),150,0.2,110,0,9.0
1033,Vanilla Latte (Or Other Flavoured Latte),200,5.0,125,0,9.0
1034,Vanilla Latte (Or Other Flavoured Latte),160,4.0,95,1,7.0
1035,Vanilla Latte (Or Other Flavoured Latte),200,0.3,140,0,12.0
1036,Vanilla Latte (Or Other Flavoured Latte),250,6.0,150,0,12.0
1037,Vanilla Latte (Or Other Flavoured Latte),210,5.0,120,1,9.0
1038,Vanilla Latte (Or Other Flavoured Latte),250,0.3,180,0,15.0
1039,Vanilla Latte (Or Other Flavoured Latte),320,9.0,200,0,15.0
1040,Vanilla Latte (Or Other Flavoured Latte),270,7.0,160,2,12.0
1041,Caffè Americano,5,0.0,5,0,0.4
1042,Caffè Americano,10,0.0,10,0,1.0
1043,Caffè Americano,15,0.0,15,0,1.0
1044,Caffè Americano,25,0.0,15,0,1.0
1045,Cappuccino,50,0.1,60,0,5.0
1046,Cappuccino,80,3.0,70,0,5.0
1047,Cappuccino,50,1.5,40,0,3.0
1048,Cappuccino,60,0.1,70,0,6.0
1049,Cappuccino,90,3.5,80,0,6.0
1050,Cappuccino,70,3.0,65,1,5.0
1051,Cappuccino,80,0.2,90,0,8.0
1052,Cappuccino,120,4.0,100,0,8.0
1053,Cappuccino,100,3.5,80,1,7.0
1054,Cappuccino,110,0.2,120,0,10.0
1055,Cappuccino,150,6.0,135,0,10.0
1056,Cappuccino,120,4.5,110,1,9.0
1057,Espresso,5,0.0,0,0,0.4
1058,Espresso,10,0.0,1,0,1.0
1059,Skinny Latte (Any Flavour),60,0.1,80,0,6.0
1060,Skinny Latte (Any Flavour),100,0.2,125,0,9.0
1061,Skinny Latte (Any Flavour),120,0.3,160,0,12.0
1062,Skinny Latte (Any Flavour),160,0.3,200,0,15.0
1063,Caramel Macchiato,100,1.0,70,0,6.0
1064,Caramel Macchiato,120,4.0,80,0,5.0
1065,Caramel Macchiato,100,3.0,60,1,4.0
1066,Caramel Macchiato,140,1.0,105,0,8.0
1067,Caramel Macchiato,180,5.0,115,0,8.0
1068,Caramel Macchiato,150,4.5,90,1,7.0
1069,Caramel Macchiato,190,1.0,130,0,11.0
1070,Caramel Macchiato,240,7.0,150,0,10.0
1071,Caramel Macchiato,200,5.0,115,1,9.0
1072,Caramel Macchiato,240,1.0,170,0,13.0
1073,Caramel Macchiato,300,8.0,180,0,13.0
1074,Caramel Macchiato,250,7.0,140,1,11.0
1075,White Chocolate Mocha (Without Whipped Cream),180,3.0,120,0,7.0
1076,White Chocolate Mocha (Without Whipped Cream),200,6.0,125,0,7.0
1077,White Chocolate Mocha (Without Whipped Cream),180,5.0,110,1,6.0
1078,White Chocolate Mocha (Without Whipped Cream),270,4.5,190,0,12.0
1079,White Chocolate Mocha (Without Whipped Cream),310,9.0,200,0,11.0
1080,White Chocolate Mocha (Without Whipped Cream),280,8.0,170,1,10.0
1081,White Chocolate Mocha (Without Whipped Cream),350,6.0,240,0,15.0
1082,White Chocolate Mocha (Without Whipped Cream),400,11.0,250,0,15.0
1083,White Chocolate Mocha (Without Whipped Cream),370,10.0,220,1,13.0
1084,White Chocolate Mocha (Without Whipped Cream),450,7.0,310,0,19.0
1085,White Chocolate Mocha (Without Whipped Cream),510,15.0,330,0,19.0
1086,White Chocolate Mocha (Without Whipped Cream),460,13.0,290,1,16.0
1087,Hot Chocolate (Without Whipped Cream),130,1.5,70,1,7.0
1088,Hot Chocolate (Without Whipped Cream),150,4.5,80,1,7.0
1089,Hot Chocolate (Without Whipped Cream),130,3.5,60,2,6.0
1090,Hot Chocolate (Without Whipped Cream),190,2.0,110,1,11.0
1091,Hot Chocolate (Without Whipped Cream),230,7.0,120,1,10.0
1092,Hot Chocolate (Without Whipped Cream),200,6.0,95,2,9.0
1093,Hot Chocolate (Without Whipped Cream),240,2.5,140,2,14.0
1094,Hot Chocolate (Without Whipped Cream),290,9.0,160,2,14.0
1095,Hot Chocolate (Without Whipped Cream),250,7.0,125,3,12.0
1096,Hot Chocolate (Without Whipped Cream),320,3.0,180,2,18.0
1097,Hot Chocolate (Without Whipped Cream),380,11.0,200,2,17.0
1098,Hot Chocolate (Without Whipped Cream),330,9.0,160,4,15.0
1099,Caramel Apple Spice (Without Whipped Cream),140,0.0,10,0,0.0
1100,Caramel Apple Spice (Without Whipped Cream),210,0.0,15,0,0.0
1101,Caramel Apple Spice (Without Whipped Cream),280,0.0,20,0,0.0
1102,Caramel Apple Spice (Without Whipped Cream),360,0.0,25,0,0.0
1103,Tazo® Tea,0,0.0,0,0,0.0
1104,Tazo® Tea,0,0.0,0,0,0.0
1105,Tazo® Tea,0,0.0,0,0,0.0
1106,Tazo® Tea,0,0.0,0,0,0.0
1107,Tazo® Chai Tea Latte,100,0.1,50,0,4.0
1108,Tazo® Chai Tea Latte,120,2.0,55,0,4.0
1109,Tazo® Chai Tea Latte,110,1.5,45,0,3.0
1110,Tazo® Chai Tea Latte,160,0.2,80,0,6.0
1111,Tazo® Chai Tea Latte,190,3.5,90,0,6.0
1112,Tazo® Chai Tea Latte,160,2.5,70,1,5.0
1113,Tazo® Chai Tea Latte,210,0.2,105,0,8.0
1114,Tazo® Chai Tea Latte,240,4.5,115,0,8.0
1115,Tazo® Chai Tea Latte,220,3.5,90,1,6.0
1116,Tazo® Chai Tea Latte,260,0.3,135,0,10.0
1117,Tazo® Chai Tea Latte,310,6.0,150,0,10.0
1118,Tazo® Chai Tea Latte,280,4.5,115,1,8.0
1119,Tazo® Green Tea Latte,130,0.2,85,0,7.0
1120,Tazo® Green Tea Latte,170,4.0,95,0,7.0
1121,Tazo® Green Tea Latte,140,3.0,70,1,6.0
1122,Tazo® Green Tea Latte,210,0.4,125,1,11.0
1123,Tazo® Green Tea Latte,260,6.0,140,1,10.0
1124,Tazo® Green Tea Latte,230,4.5,110,2,9.0
1125,Tazo® Green Tea Latte,290,0.5,160,1,14.0
1126,Tazo® Green Tea Latte,350,8.0,180,1,14.0
1127,Tazo® Green Tea Latte,310,6.0,140,3,11.0
1128,Tazo® Green Tea Latte,370,0.5,200,2,18.0
1129,Tazo® Green Tea Latte,450,10.0,230,2,17.0
1130,Tazo® Green Tea Latte,390,8.0,180,4,14.0
1131,Tazo® Full-Leaf Tea Latte,80,0.1,45,0,4.0
1132,Tazo® Full-Leaf Tea Latte,90,2.0,50,0,3.0
1133,Tazo® Full-Leaf Tea Latte,80,1.5,40,0,3.0
1134,Tazo® Full-Leaf Tea Latte,120,0.1,65,0,5.0
1135,Tazo® Full-Leaf Tea Latte,140,3.0,75,0,5.0
1136,Tazo® Full-Leaf Tea Latte,130,2.5,60,1,4.0
1137,Tazo® Full-Leaf Tea Latte,150,0.2,85,0,7.0
1138,Tazo® Full-Leaf Tea Latte,190,4.0,95,0,7.0
1139,Tazo® Full-Leaf Tea Latte,170,3.5,80,1,6.0
1140,Tazo® Full-Leaf Tea Latte,190,0.2,110,0,9.0
1141,Tazo® Full-Leaf Tea Latte,230,5.0,125,0,9.0
1142,Tazo® Full-Leaf Tea Latte,210,4.0,100,1,7.0
1143,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),80,0.1,45,0,4.0
1144,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),90,2.0,50,0,3.0
1145,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),80,1.5,40,0,3.0
1146,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),120,0.1,65,0,5.0
1147,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),140,3.0,75,0,5.0
1148,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),130,2.5,60,1,4.0
1149,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),150,0.2,85,0,7.0
1150,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),190,4.0,95,0,7.0
1151,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),170,3.5,80,1,6.0
1152,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),190,0.2,110,0,9.0
1153,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),230,5.0,125,0,9.0
1154,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),210,4.0,100,1,7.0
1155,Iced Brewed Coffee (With Classic Syrup),60,0.0,4,0,0.2
1156,Iced Brewed Coffee (With Classic Syrup),90,0.1,5,0,0.3
1157,Iced Brewed Coffee (With Classic Syrup),130,0.1,5,0,0.4
1158,Iced Brewed Coffee (With Milk & Classic Syrup),80,0.1,25,0,2.0
1159,Iced Brewed Coffee (With Milk & Classic Syrup),90,1.0,25,0,2.0
1160,Iced Brewed Coffee (With Milk & Classic Syrup),80,1.0,20,0,2.0
1161,Iced Brewed Coffee (With Milk & Classic Syrup),110,0.1,30,0,2.0
1162,Iced Brewed Coffee (With Milk & Classic Syrup),120,1.5,35,0,2.0
1163,Iced Brewed Coffee (With Milk & Classic Syrup),110,1.0,30,0,2.0
1164,Iced Brewed Coffee (With Milk & Classic Syrup),160,0.1,50,0,4.0
1165,Iced Brewed Coffee (With Milk & Classic Syrup),180,2.0,55,0,4.0
1166,Iced Brewed Coffee (With Milk & Classic Syrup),170,1.5,45,0,3.0
1167,Shaken Iced Tazo® Tea (With Classic Syrup),60,0.0,0,0,0.0
1168,Shaken Iced Tazo® Tea (With Classic Syrup),80,0.0,0,0,0.0
1169,Shaken Iced Tazo® Tea (With Classic Syrup),120,0.0,0,0,0.0
1170,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),100,0.0,0,0,0.1
1171,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),130,0.0,0,0,0.1
1172,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),190,0.0,0,0,0.1
1173,Banana Chocolate Smoothie,280,2.5,150,7,20.0
1174,Banana Chocolate Smoothie,300,5.0,160,7,20.0
1175,Banana Chocolate Smoothie,290,4.5,150,7,19.0
1176,Orange Mango Banana Smoothie,260,1.0,120,6,16.0
1177,Orange Mango Banana Smoothie,270,1.5,125,6,16.0
1178,Orange Mango Banana Smoothie,270,1.5,120,6,15.0
1179,Strawberry Banana Smoothie,290,1.0,125,7,16.0
1180,Strawberry Banana Smoothie,290,2.0,125,7,16.0
1181,Strawberry Banana Smoothie,290,2.0,120,8,16.0
1182,Coffee,160,0.1,160,0,3.0
1183,Coffee,180,2.5,160,0,3.0
1184,Coffee,160,1.5,150,0,2.0
1185,Coffee,220,0.1,210,0,4.0
1186,Coffee,240,3.0,220,0,3.0
1187,Coffee,220,1.5,210,0,3.0
1188,Coffee,310,0.1,300,0,6.0
1189,Coffee,350,5.0,300,0,5.0
1190,Coffee,310,2.5,300,1,5.0
1191,Mocha (Without Whipped Cream),180,0.5,150,1,3.0
1192,Mocha (Without Whipped Cream),200,3.0,160,1,3.0
1193,Mocha (Without Whipped Cream),180,2.0,150,1,3.0
1194,Mocha (Without Whipped Cream),260,1.0,220,1,4.0
1195,Mocha (Without Whipped Cream),290,4.0,220,1,4.0
1196,Mocha (Without Whipped Cream),260,2.5,220,1,4.0
1197,Mocha (Without Whipped Cream),340,1.0,300,1,7.0
1198,Mocha (Without Whipped Cream),390,6.0,300,1,6.0
1199,Mocha (Without Whipped Cream),350,3.0,290,2,6.0
1200,Caramel (Without Whipped Cream),180,0.1,160,0,3.0
1201,Caramel (Without Whipped Cream),200,2.5,160,0,3.0
1202,Caramel (Without Whipped Cream),180,1.5,150,0,2.0
1203,Caramel (Without Whipped Cream),280,0.1,220,0,4.0
1204,Caramel (Without Whipped Cream),280,3.5,220,0,3.0
1205,Caramel (Without Whipped Cream),260,1.5,220,0,3.0
1206,Caramel (Without Whipped Cream),330,0.1,290,0,5.0
1207,Caramel (Without Whipped Cream),370,5.0,300,0,5.0
1208,Caramel (Without Whipped Cream),340,2.5,290,1,5.0
1209,Java Chip (Without Whipped Cream),220,3.0,170,1,4.0
1210,Java Chip (Without Whipped Cream),240,5.0,170,1,4.0
1211,Java Chip (Without Whipped Cream),220,4.0,170,1,3.0
1212,Java Chip (Without Whipped Cream),310,4.0,250,2,5.0
1213,Java Chip (Without Whipped Cream),340,7.0,250,2,5.0
1214,Java Chip (Without Whipped Cream),310,6.0,240,2,4.0
1215,Java Chip (Without Whipped Cream),420,5.0,340,2,7.0
1216,Java Chip (Without Whipped Cream),460,10.0,340,2,7.0
1217,Java Chip (Without Whipped Cream),430,8.0,330,3,6.0
1218,Coffee,90,0.1,160,0,3.0
1219,Coffee,120,0.1,210,0,3.0
1220,Coffee,160,0.1,270,0,5.0
1221,Mocha,110,0.5,150,1,3.0
1222,Mocha,150,1.0,200,1,4.0
1223,Mocha,210,1.0,280,1,6.0
1224,Caramel,100,0.1,140,0,3.0
1225,Caramel,150,0.1,200,0,3.0
1226,Caramel,200,0.1,270,0,5.0
1227,Java Chip,150,3.0,170,1,4.0
1228,Java Chip,220,4.0,240,2,5.0
1229,Java Chip,290,5.0,320,2,7.0
1230,Strawberries & Crème (Without Whipped Cream),170,0.1,140,0,3.0
1231,Strawberries & Crème (Without Whipped Cream),190,3.0,140,0,3.0
1232,Strawberries & Crème (Without Whipped Cream),170,1.5,135,1,3.0
1233,Strawberries & Crème (Without Whipped Cream),230,0.2,190,0,4.0
1234,Strawberries & Crème (Without Whipped Cream),260,4.0,190,0,4.0
1235,Strawberries & Crème (Without Whipped Cream),240,2.0,180,1,3.0
1236,Strawberries & Crème (Without Whipped Cream),310,0.2,260,0,6.0
1237,Strawberries & Crème (Without Whipped Cream),350,6.0,260,0,6.0
1238,Strawberries & Crème (Without Whipped Cream),320,3.2,250,1,5.0
1239,Vanilla Bean (Without Whipped Cream),170,0.1,160,0,4.0
1240,Vanilla Bean (Without Whipped Cream),200,3.5,160,0,3.0
1241,Vanilla Bean (Without Whipped Cream),180,1.5,160,1,3.0
1242,Vanilla Bean (Without Whipped Cream),240,0.1,230,0,5.0
2001,Chonga Bagel,300,5.0,50,3,12.0
2002,8-Grain Roll,380,6.0,70,7,10.0
2003,Almond Croissant,410,22.0,45,3,10.0
2004,Apple Fritter,460,23.0,56,2,7.0
2005,Banana Nut Bread,420,22.0,52,2,6.0
2006,Blueberry Muffin with Yogurt and Honey,380,16.0,53,1,6.0
2007,Blueberry Scone,420,17.0,61,2,5.0
2008,Butter Croissant,240,12.0,28,1,5.0
2009,Butterfly Cookie,350,22.0,38,0,2.0
2010,Cheese Danish,320,16.0,36,1,8.0
2011,Chewy Chocolate Cookie,170,5.0,30,2,2.0
2012,Chocolate Chip Cookie,310,15.0,42,2,4.0
2013,Chocolate Chunk Muffin,440,21.0,60,2,7.0
2014,Chocolate Croissant,330,18.0,38,1,6.0
2015,Chocolate Hazelnut Croissant,390,22.0,43,2,7.0
2016,Chocolate Marble Loaf Cake,490,24.0,64,2,6.0
2017,Cinnamon Morning Bun,390,15.0,56,2,8.0
2018,Cinnamon Raisin Bagel,270,1.0,58,3,9.0
2019,Classic Coffee Cake,390,16.0,57,1,5.0
2020,Cookie Butter Bar,360,23.0,36,0,2.0
2021,Cranberry Orange Scone,420,15.0,64,1,6.0
2022,Devil's Food Doughnut,430,23.0,53,2,5.0
2023,Double Chocolate Brownie,410,24.0,46,3,6.0
2024,Double Chocolate Chunk Brownie,490,28.0,55,3,7.0
2025,Double Chocolate Loaf Cake,440,23.0,54,3,5.0
2026,Everybody's Favorite - Bantam Bagel (2 Pack),100,3.5,14,0,3.0
2027,Everything Bagel with Cheese,290,3.5,53,2,11.0
2028,Frappuccino® Cookie Straw,90,3.0,14,0,1.0
2029,French Toast - Bantam Bagels (2 Pack),200,8.0,30,0,6.0
2030,Gluten-Free Marshmallow Dream Bar,240,5.0,45,0,2.0
2031,Ice Cream Cone Sugar Cookie,250,14.0,29,1,3.0
2032,Iced Lemon Pound Cake,470,20.0,68,1,6.0
2033,Michigan Cherry Oat Bar,310,10.0,47,2,3.0
2034,Multigrain Bagel,350,4.0,64,8,17.0
2035,Oatmeal Cookie,290,12.0,40,3,5.0
2036,Octopus Cookie,330,18.0,39,1,3.0
2037,Old-Fashioned Glazed Doughnut,480,27.0,56,1,5.0
2038,Peanut butter cup cookie,360,21.0,36,3,8.0
2039,Pecan Tart,330,18.0,39,1,4.0
2040,Petite Vanilla Bean Scone,120,4.5,18,0,2.0
2041,Plain Bagel,280,1.5,56,2,9.0
2042,Pumpkin Bread,410,15.0,63,2,6.0
2043,Raspberry Swirl Loaf Cake,420,17.0,61,1,6.0
2044,Raspberry Whoopie Pie,360,18.0,45,1,3.0
2045,Reduced-Fat Cinnamon Swirl Coffee Cake,370,9.0,67,2,5.0
2046,S'mores Bar,330,17.0,44,1,2.0
2047,S'mores Bar Multipack,330,17.0,44,1,2.0
2048,Sprouted Grain Vegan Bagel,330,6.0,57,7,12.0
2049,Strawberry Cake Pop,180,9.0,23,0,2.0
2050,The Classic - Bantam Bagels (2 Pack),200,8.0,28,0,6.0
2051,Toffeedoodle,300,13.0,44,1,3.0
2052,Vanilla Bean Whoopie Pie,360,18.0,45,1,3.0
2053,Vermont Maple Walnut Muffin,390,21.0,45,2,6.0
2054,Volpi™ Pepperoni & Tomato Savory Foldover,270,14.0,27,2,10.0
2055,Strawberries & Jam Sandwich,600,25.0,80,10,19.0
2056,Burrata & Basil Pesto Small Sandwich,300,14.0,34,2,11.0
2057,Cage-Free Eggs & Seasoned Grains Side Salad,360,18.0,33,3,17.0
2058,Cauliflower Tabbouleh Side Salad,130,12.0,7,3,2.0
2059,Cubano Sandwich,430,23.0,34,3,21.0
2060,Farmers' Market Protein Box,470,29.0,29,4,21.0
2061,Garden Greens & Shaved Parmesan Side Salad,170,13.0,9,2,7.0
2062,Green Goddess Avocado Salad,620,37.0,62,10,13.0
2063,Herbed Chicken & Fig Spread Small Sandwich,300,8.0,43,2,19.0
2064,Honey BBQ Sriracha Chicken Sandwich,360,7.0,52,3,22.0
2065,Roasted Carrot & Kale Side Salad,440,26.0,44,7,10.0
2066,Roasted Turkey & Dill Havarti Sandwich,600,32.0,47,6,32.0
2067,Seared Steak & Cheddar Sandwich,530,29.0,44,2,23.0
2068,Slow-Roasted Ham & Beecher's Flagship Cheese Small Sandwich,350,18.0,31,1,16.0
2069,Smoked Mozzarella & Roasted Pepper Sandwich,500,28.0,46,4,18.0
2070,Turkey & Fire-Roasted Corn Salad,560,29.0,53,7,24.0
2071,Za'atar Chicken & Lemon Tahini Salad,570,23.0,67,11,27.0
2072,BBQ Chicken Protein Box,420,16.0,49,5,22.0
2073,Cheese & Fruit Protein Box,450,27.0,34,4,20.0
2074,Chicken Wrap Protein Box,460,22.0,45,4,20.0
2075,Eggs & Cheese Protein Box,460,24.0,40,5,23.0
2076,PB&J Protein Box,520,26.0,53,5,20.0
2077,Smoked Turkey Protein Box,360,12.0,42,5,24.0
2078,Birthday Cake Pop,170,9.0,23,0,1.0
2079,Chocolate Cake Pop,160,8.0,23,1,2.0
2080,Chocolate Chip Cookie Dough Cake Pop,180,9.0,23,0,2.0
2081,Pirate Cake Pop,180,9.0,24,0,1.0
2082,Bacon Gouda & Egg Breakfast Sandwich,370,19.0,32,1,18.0
2083,Certified Gluten-Free Breakfast Sandwich,280,13.0,18,6,18.0
2084,Classic Whole-Grain Oatmeal,160,2.5,28,4,5.0
2085,Double-Smoked Bacon Cheddar & Egg Sandwich,490,27.0,40,1,21.0
2086,Ham & Cheese Croissant,320,17.0,28,1,14.0
2087,Hearty Blueberry Oatmeal,220,2.5,43,5,5.0
2088,Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,230,6.0,28,2,16.0
2089,Sausage Cheddar & Egg Breakfast Sandwich,500,28.0,41,1,15.0
2090,Seared Steak Egg & Tomatillo Wrap,410,18.0,43,2,21.0
2091,Slow-Roasted Ham Swiss & Egg Breakfast Sandwich,450,23.0,42,1,24.0
2092,Sous Vide Egg Bites: Bacon & Gruyere,310,22.0,9,0,19.0
2093,Sous Vide Egg Bites: Egg White & Red Pepper,170,7.0,13,1,13.0
2094,Spicy Chorizo  Monterey Jack & Egg Breakfast Sandwich,500,30.0,35,3,26.0
2095,Spinach Feta & Cage Free Egg White Breakfast Wrap,290,10.0,33,6,19.0
2096,Ancho Chipotle Chicken Panini ,500,19.0,57,4,26.0
2097,Chicken & Quinoa Protein Bowl with Black Beans and Greens,420,17.0,42,9,27.0
2098,Chicken Artichoke on Ancient Grain Flatbread,510,27.0,37,5,24.0
2099,Chicken BLT Salad Sandwich,470,25.0,35,3,21.0
2100,Egg Salad Sandwich,480,27.0,42,7,16.0
2101,Homestyle Chicken & Double-Smoked Bacon,480,17.0,57,3,23.0
2102,Italian-Style Ham & Spicy Salami,480,20.0,49,3,22.0
2103,Lentils & Vegetable Protein Bowl with Brown Rice,650,29.0,80,21,23.0
2104,Roasted Tomato & Mozzarella Panini,420,18.0,47,3,11.0
2105,Turkey & Havarti Sandwich,460,21.0,31,2,29.0
2106,Turkey Pesto Panini,560,23.0,55,3,34.0
2107,Berry Trio Yogurt,240,2.5,39,3,14.0
2108,Fresh Blueberries and Honey Greek Yogurt Parfait,240,2.5,42,2,14.0
2109,Justin's Chocolate Hazelnut Butter,180,14.0,12,3,4.0
2110,Justin's Classic Almond Butter,190,18.0,6,3,7.0
2111,Lemon Chiffon Yogurt,340,13.0,38,0,18.0
2112,Organic Avocado (Spread),90,8.0,5,4,1.0
2113,Seasonal Fruit Blend,90,0.0,24,4,1.0
